,job_title,frequency,job_category
201474,Assembly line worker,1,Unclassified
201455,General School Assistant ,1,education assistant
201454,Universal banker ,1,Unclassified
201453,Agricultural Advisor,1,advisers/consultants
201452,Voter's roll officer,1,Unclassified
201451,Retail,1,sales assistant
201450,Assistant teacher,1,tutor
201449,Office assistant ,1,Unclassified
201448,Sale floors ,1,sales assistant
201447,Ambassador,1,brand promoter
201446,Factory assistance ,1,Unclassified
201444,Health and Safety Officer,1,Unclassified
201443,Fieldwork,1,Unclassified
201442,Sales consultant ,1,sales assistant
201441,Admin clerk/ Consultant ,1,admin assistant clerk
201440,Tyre builder ,1,construction
201456,General worker,1,general worker
201457,Cashier ,1,cashier
201458,internship,1,intern
201467,HR intern ,1,intern
201473,Branch manager,1,manager
201472,Chemical operations practical traineeship ,1,Unclassified
201471,Supervisor,1,manager
201470,Facility tracer,1,Unclassified
201469,Office Admin (Practicals) ,1,admin assistant clerk
201468,Fraud consultant ,1,advisers/consultants
201466,Educational assistant,1,education assistant
201459,Technician,1,Unclassified
201465,General worker,1,general worker
201464,Meal Creater,1,Unclassified
201463,Financial Assistant,1,finance
201462,Intern ,1,intern
201461,General Worker ,1,general worker
201460,Supervisor and cash officer ,1,cashier
201512,Assistant Teacher ,1,tutor
201514,Data Capturer ,1,data capturer
201287,Intern,1,intern
201571,Waitron,1,Unclassified
201569,Health Promoter,1,brand promoter
201567,general work ,1,general worker
201566,Educational Assistant,1,education assistant
201565,change maker,1,Unclassified
201564,Store Controller ,1,sales assistant
201563,Security Officer ,1,security
201562,Reading champion ,1,Unclassified
201561,Electrical trainee,1,maintenance
201560,Handy Man,1,maintenance
201559,Security,1,security
201558,Educational Assistant ,1,education assistant
201557,Learnership,1,learnership
201556,Supervisor ,1,manager
201555,Traffic Accomodation Assistant,1,Unclassified
201554,Data capturer,1,data capturer
201570,Fields Operation Officer,1,Unclassified
201572,Waitress ,1,waitron
201515,Administrator,1,admin assistant clerk
201573,Administration assistant,1,admin assistant clerk
201588,Data collection ,1,data capturer
201587,Stock clerk,1,admin assistant clerk
201586,Teacher's assistant,1,tutor
201585,Customer and Services consultant,1,call centre agent
201584,Human resource officer,1,Unclassified
201583,Call Centre Interviewer ,1,call centre agent
201582,Cross cut operator,1,Unclassified
201581,Assistant Accounts Administrator ,1,admin assistant clerk
201580,Learner ,1,Unclassified
201579,Cashier ,1,cashier
201578,Receptionist ,1,receptionist
201577,General assistant,1,education assistant
201576,Assistant Plumber,1,maintenance
201575,Filling clerk,1,admin assistant clerk
201574,Careworker,1,Unclassified
201553,Cleaner,1,cleaner
201552,Receptionist ,1,receptionist
201551,Admin Assistant,1,admin assistant clerk
201550,Plumber,1,maintenance
201531,Receptionist,1,receptionist
201529,Administrator intern,1,intern
201528,General assistant ,1,education assistant
201527,Quantity Surveyor / Tender Administrator,1,admin assistant clerk
201526,Examination assistant,1,Unclassified
201525,Bank better champion ,1,Unclassified
201524,Administrator / debtors clerk ,1,admin assistant clerk
201523,Casual,1,Unclassified
201522,Welding ,1,maintenance
201521,Admin clerk,1,admin assistant clerk
201520,Sales assistant,1,sales assistant
201519,Currently working as a sales agent,1,sales assistant
201518,Packer,1,picker packer
201517,Vaccine Assistant and Data capture /Shop Assistant Cashier,1,cashier
201516,Tourist Assistant Trainee,1,Unclassified
201532,Education Assistant,1,education assistant
201533,Bookkeeper ,1,Unclassified
201534,Cuss agent,1,Unclassified
201543,Planner,1,Unclassified
201549,Packer,1,picker packer
201548,Data Capture / Data Collection,1,data capturer
201547,Supervisor,1,manager
201546,Cashier/waitress,1,cashier
201545,Mechanical operator,1,maintenance
201544,sales agent,1,sales assistant
201542,Education assistant ,1,education assistant
201535,General Assistant,1,education assistant
201541,Marketing Assistant ,1,Unclassified
201540,General worker ,1,general worker
201539,Administration manager,1,admin assistant clerk
201538,Administrator,1,admin assistant clerk
201537,General worker,1,general worker
201536,Sales Consultant ,1,sales assistant
201439,Promoter ,1,brand promoter
201438,Teacher Assistant ,1,tutor
201437,Energy specialist ,1,Unclassified
201343,General woker ,1,general worker
201341,Educator Assistant ,1,education assistant
201340,Labour,1,Unclassified
201339,Covid19 Screener,1,covid19 screener
201338,Cleaner,1,cleaner
201337,Merchandising,1,stockroom assistant
201336,Educator Assistant,1,education assistant
201335,General Assistant ,1,education assistant
201334,Education Assistant ,1,education assistant
201333,Mail processor,1,Unclassified
201331,HR intern,1,intern
201330,Administrative Cleck (Nys Learner),1,admin assistant clerk
201329,Educator Assistant ,1,education assistant
201328,Teachers Assistant,1,tutor
201327,Teacher assistant,1,tutor
201326,General Assistance,1,education assistant
201342,Data capturer,1,data capturer
201344,Call centre agent,1,call centre agent
201436,General Assistance ,1,education assistant
201345,Dispatched,1,Unclassified
201361,administrative clerk,1,admin assistant clerk
201360,P27,1,Unclassified
201359,"Cashier,Skaral,grill and cleaner",1,cashier
201358,Fieldworks supervisor ,1,manager
201357,Spice seller,1,Unclassified
201356,Education Assistant,1,education assistant
201355,Education assistant ,1,education assistant
201354,Mentor,1,advisers/consultants
201353,Administrator,1,admin assistant clerk
201352,I was a parking attendance ,1,Unclassified
201351,Shop assistant ,1,sales assistant
201350,Volunteer,1,Unclassified
201348,RECEPTIONIST,1,receptionist
201347,Educator Assistant,1,education assistant
201346,Bakery Assistance ,1,food preparation
201325,Learnership in freight forwarding and customs  compliance,1,learnership
201324,Weighbridge operator,1,Unclassified
201323,educator assistant,1,education assistant
201322,Administrative Clerk Intern ,1,intern
201302,Site Supervisor,1,manager
201301,Administrator,1,admin assistant clerk
201300,Education assistance ,1,education assistant
201299,Teacher assistant ,1,tutor
201298,Supervisor ,1,manager
201297,Merchandise,1,stockroom assistant
201296,Finance personnel (in service training ),1,finance
201295,Finance intern ,1,intern
201294,Shop Assistant ,1,sales assistant
201293,Assistant photographer & editor ,1,Unclassified
201292,Driver code 14,1,driver
201291,Youth Cadet (HR: Planning and Administration) - Covid 19 Screener,1,admin assistant clerk
201290,General Bakery assistant,1,food preparation
201289,Volunteer,1,Unclassified
201288,BRICK PRODUCTION AND BUILDING,1,construction
201303,General assistant (cleaning and maintenance),1,cleaner
201304,Cleaner ,1,cleaner
201305,Part time cashier at pick n pay,1,cashier
201315,Office Administrator ,1,admin assistant clerk
201321,Machendiser ,1,Unclassified
201320,HR intern ,1,intern
201319,Junior chef,1,food preparation
201318,Am doing an in service training ,1,Unclassified
201317,Youth Justice Coordinator ,1,Unclassified
201316,Cashier ,1,cashier
201314,Teacher assistant ,1,tutor
201306,Intern,1,intern
201313,Admin clerk ,1,admin assistant clerk
201312,Forklift Driver,1,driver
201310,Trainee,1,Unclassified
201309,Educators assistant ,1,education assistant
201308,Education assistance ,1,education assistant
201307,Forklift operator ,1,Unclassified
201362,"Sales,admin",1,admin assistant clerk
201363,General worker,1,general worker
201364,General assistant ,1,education assistant
201401,Store assistant,1,sales assistant
201417,Merchandiser ,1,stockroom assistant
201416,Software Engineer,1,software tester
201415,Kitchen assistant ,1,food preparation
201414,Fire fighter,1,Unclassified
201413,Apprenticeship ,1,Unclassified
201412,General worker,1,general worker
201411,Educator Assistant,1,education assistant
201410,Supervisor ,1,manager
201409,Cashier ,1,cashier
201408,General worker,1,general worker
201407,Printing ,1,Unclassified
201406,Read Partner ,1,Unclassified
201405,General School Assistant,1,education assistant
201404,Baker ,1,food preparation
201403,Cashier ,1,cashier
201418,Saleman,1,sales assistant
201419,General worker,1,general worker
201420,Educator Assistant,1,education assistant
201429,Campaign Qgent,1,Unclassified
201435,Sales Agent,1,sales assistant
201434,young patriot,1,Unclassified
201433,Passenger Handling Agent,1,Unclassified
201432,Till operator,1,cashier
201431,Education Assistant,1,education assistant
201430,Sales person,1,sales assistant
201428,Internal sales Advisor,1,intern
201421,cashier,1,cashier
201427,Part-time sales assistant.,1,sales assistant
201426,General assistant,1,education assistant
201425,SCM Trainee,1,Unclassified
201424,senior acc clerk,1,admin assistant clerk
201423,GENERAL SCHOOL ASSISTANT ,1,education assistant
201422,Equipment coach,1,Unclassified
201402,Assistant,1,Unclassified
201400,Teacher assistant ,1,tutor
201365,Administration ,1,admin assistant clerk
201399,Artisan assistant,1,Unclassified
201380,Customer Service Representative,1,call centre agent
201379,Hearing screener/Administrator,1,admin assistant clerk
201378,Screening ,1,Unclassified
201377,Payroll and finance assistant ,1,finance
201376,Teacher Assistant ,1,tutor
201375,Internship ,1,intern
201374,Sales assistants ,1,sales assistant
201373,Merchandising,1,stockroom assistant
201372,Teacher ,1,tutor
201371,Student Mentor,1,advisers/consultants
201370,Education assistant,1,education assistant
201369,Research assistant ,1,research fieldworker
201368,Sales Consultant ,1,sales assistant
201367,Learner support agent ,1,Unclassified
201366,Trainee manager ,1,manager
201381,Customer services advisor,1,call centre agent
201382,Educator assistant,1,education assistant
201383,Swab Aider,1,Unclassified
201392,Peer Mentor ,1,advisers/consultants
201398,Educational Assistant ,1,education assistant
201397,Internship ,1,intern
201396,Educator Assistant,1,education assistant
201395,Educator assistant ,1,education assistant
201394,General worker,1,general worker
201393,Call consultant,1,call centre agent
201391,EA AND GSA,1,education assistant
201384,Pyei General Assistant,1,education assistant
201390,Teacher assistance ,1,tutor
201389,School assistant ,1,education assistant
201388,Education Assistant,1,education assistant
201387,Yes apprentice,1,Unclassified
201386,Assistant plans examiner ,1,Unclassified
201385,Call Centre Operative,1,call centre agent
202198,Interviewer,1,Unclassified
202199,Bookkeeping ,1,Unclassified
202200,Security company ,1,security
203756,Part-time assistant ,1,Unclassified
203754,Nature conservancy ,1,Unclassified
203753,Business Development Manager,1,manager
203751,Military practioner ,1,Unclassified
203750,Make up artist ,1,Unclassified
203749,Water pipes fittings,1,Unclassified
203748,"I tutor(Technical Mathematics)learners at home and help with other subjects, I see a learner 3 times a week and their parents pay R300 per month.",1,tutor
203747,Admin Assistant,1,admin assistant clerk
203746,Assistant Educare Teacher,1,tutor
203745,Pocker,1,Unclassified
203744,Technical Support Technician ,1,Unclassified
203743,Cashier Volunteer trainee ,1,cashier
203742,I'm a fashion designer and baker,1,food preparation
203741,Meal server,1,waitron
203740,Gym instructor ,1,fitness coach
203739,Social media manager ,1,manager
203755,Junior Hair Assistant ,1,Unclassified
203757,Shop attendent ,1,sales assistant
203776,Census 2022 Field worker,1,No description
203758,Store general assistance ,1,sales assistant
203774,Au-Pair,1,Unclassified
203773,Serving costumes ,1,Unclassified
203772,Selling fruits,1,sales assistant
203771,Technical consultant ,1,advisers/consultants
203770,LEARNERSHIP ELECTRICAL,1,learnership
203769,Franchise ,1,Unclassified
203768,Youth empowerment,1,Unclassified
203767,Selling broilers,1,sales assistant
203766,seller,1,Unclassified
203765,Education assistant and helping at reception ,1,receptionist
203764,Brick laying ,1,construction
203763,director,1,Unclassified
203762,Office cleaning,1,cleaner
203761,school bus driver,1,driver
203760,Zamokuhle creche,1,Unclassified
203738,Enke youth for service ,1,Unclassified
203737,Domestic  work,1,cleaner
203736,Food garden,1,food preparation
203735,Leads generate ,1,Unclassified
203716,ECD teacher ,1,childcare
203715,Touter ,1,Unclassified
203714,Social Media Manager,1,manager
203712,GAS,1,Unclassified
203711,Resistance Caretaker ,1,Unclassified
203710,Practitioner at daycare ,1,Unclassified
203707,Client attendant,1,Unclassified
203706,Work at a Crèche ,1,Unclassified
203705,Part time bookkeepeer,1,Unclassified
203703,Cutting long sticks,1,Unclassified
203702,Babysitting and Tutorial for children,1,childcare
203701,Security and a bartender ,1,security
203700,Reading Champion ,1,Unclassified
203699,Baking fate cakea ,1,Unclassified
203698,HAMADI PHARMACY ,1,Unclassified
203717,"Administration,Personal Assistant ",1,admin assistant clerk
203718,Data entry specialist ,1,data capturer
203719,Washing a taxi,1,Unclassified
203728,Club waitress ,1,waitron
203734,Administrative assistant,1,admin assistant clerk
203733,General assistant school(GAs),1,education assistant
203732,Education assitant,1,education assistant
203731,Web Developer,1,Unclassified
203730,Hamba nawe kom beitjie hier ,1,Unclassified
203729,Painting and decorations,1,maintenance
203727,"Teacher Assistant,Screener and Clearner",1,covid19 screener
203720,Teacher at pre-school,1,tutor
203726,Sugar Cane cutter,1,Unclassified
203725,Catering assistant ,1,Unclassified
203724,ECD Intern,1,intern
203723,DHA Cadet,1,Unclassified
203722,Mechanic assistance ,1,maintenance
203721,Hard labour work ,1,Unclassified
203775,Receptionist and working as a nanny & cleaner  for night shift,1,cleaner
203777,Optometrist,1,Unclassified
203860,Laundry washer,1,Unclassified
203836, MRD Driver ,1,driver
203834,Street Vendor,1,Unclassified
203833,Hygiene services,1,Unclassified
203831,Tupperware sals ,1,Unclassified
203829,hubbly servant,1,Unclassified
203828,Assistant Machinist,1,machine operator
203827,House tuping and wiring,1,cleaner
203826,It's a small project we only do garden,1,Unclassified
203825,Fieldworker,1,Unclassified
203824,Driving School instructor,1,Unclassified
203823,Taxi operator ,1,Unclassified
203822,Junction10,1,No description
203821,Graphic design ,1,designer
203820,Tarven assistance ,1,Unclassified
203819,Debt advisor ,1,advisers/consultants
203818,Administrative clerk,1,admin assistant clerk
203835,Administrative assistance ,1,admin assistant clerk
203838,Mathematics instructor,1,Unclassified
203778,Farm director livestock business,1,Unclassified
203839,Day care Teacher,1,tutor
203858,Car wash assistant,1,Unclassified
203857,Food Preparation,1,food preparation
203856,Internet_cafe technician,1,intern
203855,Rica agent,1,Unclassified
203854,wendys house ,1,cleaner
203853,Admin assistance ,1,admin assistant clerk
203850,Running a tuck shop,1,sales assistant
203849,House keeping ,1,cleaner
203847,Westview clinic ,1,Unclassified
203845,IT Technician ,1,it technician
203844,Managing Director ,1,Unclassified
203843,General work at a take aways shop,1,sales assistant
203842,General  School Assistant ,1,education assistant
203841,Assistant Technician,1,Unclassified
203840,IT Support ,1,it technician
203817,Spaza shorp,1,Unclassified
203816,Replenisher,1,Unclassified
203815,Water supply,1,Unclassified
203814,CLIENT ASSISTANT,1,Unclassified
203794,Bricklaying ,1,construction
203793,Educatiors assistant ,1,Unclassified
203792,Driver/ general worker ,1,driver
203791,Field Worker Supervisor ,1,manager
203790,Fast foods,1,food preparation
203789,Aupair,1,childcare
203788,Assistance Teacher ,1,tutor
203787,Brand and marketing ,1,brand promoter
203786,Covid Screener,1,covid19 screener
203785,Fast food cooker ,1,food preparation
203784,Security supervisor,1,manager
203783,Cowboy,1,Unclassified
203782,Recruiter ,1,Unclassified
203781,Sport Assistance,1,fitness coach
203779,Book keeper,1,Unclassified
203795,Haztech assistant bc1,1,Unclassified
203796,Child carer& domestic,1,cleaner
203797,painting ,1,maintenance
203806,Metre taxi driver ,1,driver
203813,Advanced Carbon Steel Pipe Arc Welder,1,maintenance
203812,House helper ,1,cleaner
203811,Caretaker (casual),1,Unclassified
203810,Part time Driver,1,driver
203808,installation of Fibre and WiFi Network,1,Unclassified
203807,Housemaid ,1,cleaner
203805,I am working as a educators assistant ,1,education assistant
203798,Street vendor ,1,Unclassified
203804,Student driver,1,driver
203803,Tuckshop job,1,sales assistant
203802,Census,1,Unclassified
203801,Acting Team Leader,1,Unclassified
203800,Machine motor vehicles ,1,machine operator
203799,Data capture for vaccine ,1,data capturer
203697,Private caregiver ,1,caregiver
203696,Assistant Technician ,1,Unclassified
203694,Fighting for a success,1,Unclassified
203587,Plumber and General worker,1,maintenance
203585,domestic worker and nanny,1,cleaner
203584,"Baker,making desserts",1,food preparation
203582,Shop manager ,1,sales assistant
203581,Car savice,1,Unclassified
203579,Sandblasting ,1,Unclassified
203578,GSA ,1,education assistant
203577,Data Capture ,1,data capturer
203576,KFC,1,Unclassified
203575,Private Facilitator ,1,facilitator
203573,Kemoja coach,1,Unclassified
203572,Zibambele,1,Unclassified
203571,cleaning service,1,cleaner
203570,Nail technition ,1,Unclassified
203569,Adviser. Product delivery guy. Assistance ,1,food preparation
203568,Mechandise,1,Unclassified
203586,Teacher/Islamic Tutor,1,tutor
203588,School Briged,1,Unclassified
203693,Maintenance handy work ,1,maintenance
203589,Medical male circumcision  assistant ,1,Unclassified
203606,School Tuckshop lady,1,sales assistant
203605,Bengu's fast food ,1,food preparation
203604,Glazier,1,Unclassified
203603, Seller,1,Unclassified
203602,Sales rep ,1,sales assistant
203601,Driver and decorate,1,driver
203600,Retail store,1,sales assistant
203599,Crew Member  And Planning.,1,Unclassified
203598,Fieldwork at Statssa ,1,Unclassified
203597,Carwash attendant,1,Unclassified
203595,My Own business (selling perfumes),1,sales assistant
203594,Nail technician (GlamJozi salon),1,Unclassified
203593,Internet Cafe assistant ,1,intern
203592,Farm manager,1,manager
203590,Receptionist/Secretary,1,receptionist
203567,Fixing electrical appliance,1,maintenance
203566,Bar lady,1,Unclassified
203565,Educator at creche ,1,education assistant
203564,Cpwp,1,Unclassified
203543,Deputy presiding officer,1,Unclassified
203542,Assistant mechanic ,1,maintenance
203541,Handman,1,Unclassified
203539,Braai Master,1,Unclassified
203538,Trainee,1,Unclassified
203537,Professional Assistant ,1,Unclassified
203536,Small Restuarant,1,Unclassified
203535,Covid19 Screener ,1,covid19 screener
203534,Cashier. Floor assistant ,1,cashier
203533,"Nanny, Housekeeping",1,cleaner
203532,I worked in a boutique shop,1,sales assistant
203531,selling in the tuckshop,1,sales assistant
203530,Wardrobe assistant ,1,Unclassified
203529,Sewing ,1,Unclassified
203528,Garden boy ,1,Unclassified
203544,Internent cafe,1,intern
203545,Child carer,1,childcare
203546,Part time nanny ,1,childcare
203556,Lotto cashier,1,cashier
203563,Nan,1,Unclassified
203562,Upholstery,1,Unclassified
203561,Laboratory assistant ,1,Unclassified
203560,Lawn cutter ,1,Unclassified
203558,Maths Tutor ,1,tutor
203557,Director of Lesama Top Enterprise (Pty) Ltd ,1,Unclassified
203555,General engineer assistant ,1,Unclassified
203547,G A. Maintenance at school,1,maintenance
203554,Digital Marketing ,1,Unclassified
203553,Petrol attendant ,1,petrol attendent
203552,Internet caffeine ,1,intern
203551,Real Estate ,1,Unclassified
203549,Sorter,1,Unclassified
203548,General Assistant at school ,1,education assistant
203608,After care teacher for grade 1 to 11,1,childcare
203609,West Side Food Court,1,food preparation
203610,Cleaner or security,1,cleaner
203650,Insurance Rep,1,Unclassified
203671,Educator's assistant ,1,education assistant
203670,Sound Engineering ,1,Unclassified
203669,Paper boy,1,Unclassified
203668,Assistant supervisor ,1,manager
203665,Gauteng education COVID-19 response program,1,covid19 screener
203664,Food attendant ,1,food preparation
203663,Drivee,1,Unclassified
203662,Small job,1,Unclassified
203661,Guard ,1,security
203660,Dance choreographer/Teacher,1,tutor
203659,Kem operators,1,Unclassified
203657,Builder assistant,1,construction
203656,Screens  ,1,Unclassified
203653,Dsyv Technician,1,Unclassified
203652,Babysitting a baby,1,childcare
203672,Data capturing census ,1,data capturer
203673,COVID-19 Screener ,1,covid19 screener
203674,Planting vegetables ,1,Unclassified
203685,Code 14 driving job ,1,Unclassified
203691,Saleswoman,1,sales assistant
203690,Sale assistant,1,sales assistant
203689,Graphic designer ,1,designer
203688,Citrus packing,1,Unclassified
203687,Electrical work,1,maintenance
203686,House keeping and baby sitting ,1,cleaner
203684, Supervisor ,1,manager
203676,Accounts Clerk,1,admin assistant clerk
203683,Dj/producer ,1,Unclassified
203682,Building concrete Blocks ,1,construction
203681,Taking care of dogs,1,Unclassified
203680,Work on a shop,1,sales assistant
203679,Influencer,1,Unclassified
203678,Jodi digital ambassador,1,brand promoter
203651,Special Olympics ,1,Unclassified
203649,Windows cleaning ,1,cleaner
203611,Assist a street vendore,1,Unclassified
203648,Assistant production worker/sales,1,sales assistant
203628,General Employee,1,Unclassified
203627,Electrical construction,1,construction
203626,Gardening and electric fencing,1,maintenance
203625,Househelp,1,cleaner
203624,Assistant chef,1,food preparation
203623,Customer service and debt collections ,1,call centre agent
203622,Selling Fruits and Vegetable ,1,sales assistant
203621,Stock controller ,1,Unclassified
203619,Junior Admin,1,admin assistant clerk
203618,I make products with my hands,1,Unclassified
203617,Internet Café Operator,1,intern
203616,Admin and Finance Clerk,1,admin assistant clerk
203614,House building assistant,1,cleaner
203613,Domestic. Worker,1,cleaner
203612,Graphic Designer ,1,designer
203629,Maintaining mobile toilets,1,Unclassified
203630,Selling market,1,sales assistant
203631,Receptionist and PA,1,receptionist
203640,Business man,1,Unclassified
203647,Artist Manager,1,manager
203646,Disc Jockey ,1,Unclassified
203645,Duo consaltant ,1,Unclassified
203644,Physical worker,1,Unclassified
203643,"Studio Producer, Arranger, Composer, Marketing director.",1,Unclassified
203642,Home renovation,1,Unclassified
203639,Junior IT Technician,1,it technician
203632,Selling avory shlain products ,1,sales assistant
203638,Helping learners with homework and school projects when they dont understand.,1,tutor
203637,Financial manager,1,manager
203636,Cashier at Mac Donalds,1,cashier
203635,Wash clothes,1,Unclassified
203634,Examiner,1,Unclassified
203633,Head of administration ,1,admin assistant clerk
203859,Tents intsaller,1,Unclassified
203861,Covid19 Screener,1,covid19 screener
202201,Picker,1,picker packer
204080,Tiler,1,Unclassified
204078,nanny,1,childcare
204076,Virtual Assistant ,1,Unclassified
204075,Braaing meat,1,Unclassified
204074,Sell food in the street,1,food preparation
204073,Hustle,1,Unclassified
204071,Temporary Personal assistant,1,Unclassified
204070,B2 Fitness studio beauty and slimming ,1,fitness coach
204069,Nanny/Guardian,1,security
204068,Personal chef,1,food preparation
204067,"Driver, General work ",1,driver
204066,Nany,1,Unclassified
204065,Cleaning services and maintenance,1,cleaner
204064,NKANKABIDE SECONDARY SCHOOL,1,Unclassified
204063,Accountant clerk,1,admin assistant clerk
204062,General  assistant ,1,Unclassified
204079,Teaching part time in a private school ,1,tutor
204081,Assistant & Driver,1,driver
204101,manchendiser and a promoter,1,brand promoter
204082,Window cleaner,1,cleaner
204099,RICA agent,1,Unclassified
204098,Community care worker,1,caregiver
204097,Daycare worker,1,caregiver
204096,office assistant,1,Unclassified
204095,Instore/field promoter,1,sales assistant
204094,Business Development Intern,1,intern
204093,Strapping ,1,Unclassified
204092,Shoes saler,1,sales assistant
204091,Receptionist/ Administrator ,1,admin assistant clerk
204088,"House helper,help kids with home ",1,cleaner
204087,Care community ,1,Unclassified
204086,Data Capture,1,data capturer
204085,Bus driver,1,driver
204084,Shopkeeper ,1,sales assistant
204083,Computer lab facilitator ,1,facilitator
204061,House Helper,1,cleaner
204060,Inject trade ,1,Unclassified
204059,Sell representative,1,brand promoter
204058,Radio Presenter ,1,Unclassified
204038,Doing administration work for a carpenter yet to open his workshop,1,admin assistant clerk
204037,babysitter ,1,childcare
204036,Administrator Volunteer ,1,admin assistant clerk
204035,Helper for someone who fix computers,1,cleaner
204034,Plastering,1,Unclassified
204033,Staff manager,1,manager
204032,Her dresser ,1,Unclassified
204030,Assistant artisan,1,Unclassified
204029,Daycare educator,1,Unclassified
204028,Saler,1,sales assistant
204027,Dyer,1,Unclassified
204026,Home Tutor for grade 1 and 3 students,1,tutor
204025,ICT technician,1,it technician
204024,House maid ,1,cleaner
204023,Distribution of products ,1,Unclassified
204039,Adminstrater,1,admin assistant clerk
204040,Crèche care taker,1,Unclassified
204041,All housing,1,Unclassified
204050,Car Mechanic ,1,maintenance
204057,Truck assistant ,1,Unclassified
204056,Sales And General Management ,1,sales assistant
204055,Home school teacher,1,tutor
204054,RECEPTIONIST,1,receptionist
204053,Hood ,1,Unclassified
204051,TYPIST,1,Unclassified
204049,Business man I sell maize ,1,Unclassified
204042,Child care or Nan,1,childcare
204048,Teacher temporary,1,tutor
204047,Bread and milk distributor ,1,Unclassified
204046,Pre-school,1,Unclassified
204045,Taxi conducter,1,Unclassified
204044,Assistance Bric Layer,1,Unclassified
204043,Alluminium manufacture,1,Unclassified
204100,Child care or Nanny,1,childcare
204102,Sanitation crew Supervisor,1,manager
203862,Spa manager ,1,manager
220169,Teacher,1,tutor
220166,Statistics South Africas fieldwork,1,Unclassified
220165,Personal Assistance,1,Unclassified
220164,Acting as store manager ,1,sales assistant
220163,Educator Assistant ,1,education assistant
220162,Food Specialst,1,food preparation
220161,It service desk,1,Unclassified
220160,ICT Technician,1,it technician
220159,General Assistance ,1,education assistant
220158,SCHOOL ASSISTANT,1,education assistant
220157,Trainee Assessor,1,Unclassified
220156,Clerk,1,admin assistant clerk
220155,Yes apprentice ,1,Unclassified
220154,Back office follow up agent ,1,Unclassified
220153,A small tuckshop selling coldrinks and airtime,1,sales assistant
220152,Call Center Agent ,1,call centre agent
220168,Data collector ,1,data capturer
220170,Line driver ,1,driver
204103,"All Rounder (cashier,packer,cleaner(",1,cashier
220171,volunteering ,1,Unclassified
220186,Loan consultant ,1,advisers/consultants
220185,PYEi,1,Unclassified
220184,Yeboneer Scout Intern leader/Teacher assistant,1,intern
220183,SUPERVISOR,1,manager
220182,Counter assistant/Administrator,1,admin assistant clerk
220181,Co-ordinator ,1,Unclassified
220180,Service area assistant,1,Unclassified
220179,Chef officer,1,food preparation
220178,Nursing Student ,1,Unclassified
220177,HR Intern,1,intern
220176,General School Assistant ,1,education assistant
220175,General Assistant,1,education assistant
220174,Tree training ,1,Unclassified
220173,Business development officer,1,Unclassified
220172,Audiologist Assistant,1,Unclassified
220150,Food service Team Member,1,food preparation
220149,Second in comand,1,Unclassified
220148,Education Assistant (ECadre?) ,1,education assistant
220147,Baker,1,food preparation
204118,Technical support ,1,Unclassified
204117,Working at the a shop,1,sales assistant
204116,Assistant surveyors ,1,Unclassified
204115,Intert cafe manager,1,manager
204114,"Driver and a car-port ,owning installer",1,driver
204113,IT Technician,1,it technician
204112,Kota shop,1,sales assistant
204111,Senior Administrator,1,admin assistant clerk
204110,Site supervisor,1,manager
204109,Sale assistance,1,sales assistant
204108,Gym,1,fitness coach
204107,Artisan assistant ,1,Unclassified
204106,Brigade screener,1,covid19 screener
204105,Barber ,1,Unclassified
204104,Plants production ,1,Unclassified
204119,Mentor,1,advisers/consultants
204120,House choirs and raising my son,1,cleaner
204121,salesman ,1,sales assistant
204130,Products Avon,1,Unclassified
220146,Quality assurance ,1,Unclassified
220145,Screener and assisting in class,1,covid19 screener
220144,Co-ordinator,1,Unclassified
220143,Year Beyond Academic Programme Mentor ,1,advisers/consultants
204132,I sell Food,1,food preparation
204131,Day care,1,Unclassified
204129, Delivery ,1,food preparation
204122,Raider's Pub ,1,Unclassified
204128,Assistant worker,1,Unclassified
204127,Decor,1,Unclassified
204126,Herder ,1,Unclassified
204125,Ecadres,1,Unclassified
204124,Machinist ,1,machine operator
204123,Finance admin,1,admin assistant clerk
204022,Mildy farming,1,Unclassified
204021,Poultry farmer,1,Unclassified
204020,Field ranger,1,Unclassified
203920,Auto electrical wiring ,1,maintenance
203918,Occupational health and safety officer ,1,Unclassified
203917,labour,1,Unclassified
203915,Recyclable bin cleaner,1,cleaner
203914,Chisanyama ,1,Unclassified
203912,Home carer(caregiver),1,caregiver
203911,self employed,1,Unclassified
203910,Till packer,1,cashier
203909,Assistant chief,1,Unclassified
203908,door fitting and other general work,1,general worker
203907,Charter services ,1,Unclassified
203906,Washing clothes ,1,Unclassified
203905,Admin Clerk ,1,admin assistant clerk
203904,Clerks admin,1,admin assistant clerk
203903,Packing snacks ,1,Unclassified
203902,Kicks Sportswear .Brand Ambassador /Sales Assistant ,1,sales assistant
203919,Site Administrator ,1,admin assistant clerk
203921,PYEI ,1,Unclassified
204019,Teaching Assistant,1,tutor
203922,Volunteer patroller ,1,Unclassified
203938,Project Field Work Supervisor,1,manager
203937,Cleaner and nanny,1,cleaner
203935,Shoe repair and key cutting,1,maintenance
203934,Day care center ,1,Unclassified
203933,"Team leader,sales agent and call centre",1,sales assistant
203932,Assisting Customers ,1,call centre agent
203931,Coach/Trainer ,1,Unclassified
203930,Civil engineering intern,1,intern
203929,Truck driver ,1,driver
203928,Peer education ,1,Unclassified
203927,Uber Driver,1,driver
203926,tutor ,1,tutor
203925,Managing Director,1,Unclassified
203924,Math coach,1,Unclassified
