,job_title,frequency,job_category
4283,Cashier,11,cashier
8042,Education assistant ,11,education assistant
3770,Unemployed,11,No description
8802,Education Assistance ,11,education assistant
50449,Cleaning ,11,cleaner
5616,Teacher's assistant,11,tutor
77468,Assistant teacher,11,tutor
2908,Education assistant ,11,education assistant
4081,Education Assistance ,11,education assistant
2613,General worker,11,general worker
48391,Cashier,11,cashier
50882,Carpenter,11,Unclassified
4794,Till packer,11,cashier
45769,Education assistant ,11,education assistant
46579,Till packer,11,cashier
69149,Educator Assistant ,11,education assistant
8171,Assistant teacher ,10,tutor
78453,Assistant Teacher,10,tutor
46719,Screener,10,covid19 screener
8718,Teachers assistant,10,tutor
42107,Educational assistant,10,education assistant
77358,Teachers Assistant ,10,tutor
42833,Screener,10,covid19 screener
5075,Cashier,10,cashier
6272,Education assistant,10,education assistant
129179,Nanny ,10,childcare
43980,Screener,10,covid19 screener
6447,Cleaner,10,cleaner
45100,Cashier ,10,cashier
73886,Education Assistant,10,education assistant
73509,Teachers assistant ,10,tutor
77089,Educator Assistant ,10,education assistant
4733,Education assistant ,10,education assistant
43876,Cashier,10,cashier
69191,Education Assistant ,10,education assistant
3270,Educator Assistant,10,education assistant
50462,Educator Assistant ,10,education assistant
50466,Assistance ,10,Unclassified
6483,General School Assistant ,10,education assistant
46526,Teacher assistant,10,tutor
41838,Cashier,10,cashier
4367,Packer,10,picker packer
3458,Non,10,Unclassified
51081,Teacher Assistant ,10,tutor
50961,Maid,10,Unclassified
73561,Driver,10,driver
125523,Assistant teacher,10,tutor
5497,Cashier,10,cashier
152625,Educators Assistant ,10,education assistant
43313,Cashier ,9,cashier
50561,General assistance ,9,education assistant
6488,Call centre agent,9,call centre agent
4536,Educator Assistant ,9,education assistant
149172,Teachers Assistant,9,tutor
50887,Manager,9,manager
42907,Cashier ,9,cashier
73813,Administrator,9,admin assistant clerk
43408,Cashier ,9,cashier
45547,Educators Assistant ,9,education assistant
44553,Fieldworker,9,Unclassified
50968,Manager ,9,manager
50974,Self employed ,9,Unclassified
50747,Educational assistant ,9,education assistant
2833,Teacher assistant,9,tutor
51072,Personal Assistant,9,Unclassified
50619,Bus conductor ,9,bus conductor
47368,Educational assistant ,9,education assistant
89883,Teacher,9,tutor
50682,Personal Assistant ,9,Unclassified
88102,General School Assistant,9,education assistant
42528,Educators assistant ,9,education assistant
5841,Educator Assistant ,9,education assistant
44794,Cashier,9,cashier
73641,Education Assistant ,9,education assistant
44352,Field worker,9,Unclassified
7340,Sales Consultant ,9,sales assistant
43146,Ambassador,9,brand promoter
3927,General worker,9,general worker
84141,Screener,9,covid19 screener
10091,Financial advisor ,9,advisers/consultants
41765,General assistant ,9,education assistant
2640,Cashier,9,cashier
41797,Sales Consultant ,9,sales assistant
46588,Cashier,9,cashier
42968,General assistant,9,education assistant
4706,Cashier ,9,cashier
73215,Manager,9,manager
122870,Education Assistant,9,education assistant
6834,Screening,8,Unclassified
4538,Education Assistant ,8,education assistant
128868,Carpenter ,8,Unclassified
3055,Educator ,8,Unclassified
50708,Bartender,8,food preparation
3713,Cashier ,8,cashier
50710,Taxi driver ,8,driver
78446,Education assistant ,8,education assistant
7108,Screener,8,covid19 screener
7970,Cleaner,8,cleaner
51071,Babysitting ,8,childcare
45138,General school assistant,8,education assistant
50716,Street vendor,8,Unclassified
50607,Packer,8,picker packer
120830,Team member,8,Unclassified
3028,Cashier ,8,cashier
43486,Fieldwork Supervisor ,8,manager
85309,Waitress,8,waitron
73464,Financial advisor ,8,advisers/consultants
76612,Education assistant,8,education assistant
76610,Sales assistant ,8,sales assistant
86431,Teaching assistant ,8,tutor
50859,Electrician ,8,maintenance
50718,Screener ,8,covid19 screener
43561,Sales assistant ,8,sales assistant
44266,Field worker,8,Unclassified
10050,Educators assistant,8,education assistant
46167,Till packer ,8,cashier
4022,General worker,8,general worker
5720,Screener,8,covid19 screener
51188,School assistant ,8,education assistant
51007,Teacher ,8,tutor
4266,Educator,8,Unclassified
50746,Chef,8,food preparation
6635,Teachers assistant ,8,tutor
50790,Educator,8,Unclassified
5358,Unemployed ,8,No description
10405,Educational assistant,8,education assistant
8636,Educators Assistant ,8,education assistant
43842,Cashier,8,cashier
10926,Sales assistant,8,sales assistant
5359,Packer,8,picker packer
50656,Office administrator ,8,admin assistant clerk
42059,Financial Advisor ,8,advisers/consultants
49111,Education assistance ,8,education assistant
74016,Administrator ,8,admin assistant clerk
47040,Coach,7,Unclassified
51119,Educational assistant,7,education assistant
76410,Community health worker,7,Unclassified
3635,Ambassador ,7,brand promoter
121633,Fieldworker,7,Unclassified
42315,Teacher Assistant ,7,tutor
51138,Personal assistant ,7,Unclassified
8751,Waitron,7,Unclassified
152467,Shop assistant cashier,7,cashier
43309,Ambassador ,7,brand promoter
4560,School assistant,7,education assistant
73338,Teacher assistant ,7,tutor
50959,Shop Assistant,7,sales assistant
90270,Store associate,7,sales assistant
123430,Cleaner,7,cleaner
2844,Educator,7,Unclassified
50683,Educators assistant,7,education assistant
129017,EA,7,Unclassified
48594,Cashier,7,cashier
45827,Till Operator ,7,cashier
51014,Sales assistant,7,sales assistant
50877,Babysitter ,7,childcare
6867,General assistance ,7,education assistant
50474,Teachers assistant,7,tutor
5171,Sales assistant ,7,sales assistant
5750,General worker,7,general worker
50636,Babysitter,7,childcare
50530,Tutoring ,7,tutor
3369,General school assistant,7,education assistant
73978,Cleaner,7,cleaner
3958,Assistant Teacher ,7,tutor
7440,Teacher ,7,tutor
77868,School Assistant,7,education assistant
73697,Cooker,7,food preparation
50568,Handyman,7,maintenance
48127,Till packer,7,cashier
77017,Teacher assistant,7,tutor
69060,Educational assistant ,7,education assistant
69065,Education Assistant,7,education assistant
83556,Cleaner,7,cleaner
50730,Sales person,7,sales assistant
10163,Educational assistant,7,education assistant
3908,Education assistance ,7,education assistant
10461,Assistant teacher,7,tutor
50587,Teachers assistant ,7,tutor
6783,General Assistant,7,education assistant
77814,Educational Assistant ,7,education assistant
74136,Cashier,7,cashier
149463,Assistant Educator,7,Unclassified
69114,Cashier ,7,cashier
10148,Till Operator,7,cashier
7378,General Assistant,7,education assistant
78570,Teachers assistant,7,tutor
2685,Cashier ,7,cashier
6489,Sales assistant,7,sales assistant
43001,Cashier,7,cashier
7861,Promoter,7,brand promoter
46062,Education assistant,7,education assistant
3236,Cleaner,7,cleaner
122323,Screener ,7,covid19 screener
84180,P27,7,Unclassified
43545,Teacher Assistant ,7,tutor
73182,Cashier ,7,cashier
73170,Manager ,7,manager
128936,Caregiver ,7,caregiver
73183,Assistant ,7,Unclassified
129029,Assistant Teacher ,7,tutor
3953,Till packer,7,cashier
10387,Teacher Assistant ,7,tutor
50486,School assistant,7,education assistant
51205,Welding,7,maintenance
73526,Sales consultant ,7,sales assistant
50783,Sales consultant ,7,sales assistant
50774,Shop keeper,7,sales assistant
51257,Administration,7,admin assistant clerk
42303,Cashier ,7,cashier
50485,Photographer,7,Unclassified
89612,General assistant,7,education assistant
4471,Cashier,7,cashier
73648,Education assistant,7,education assistant
42514,Till operator,7,cashier
125912,Sales assistant ,7,sales assistant
50803,Farmer,6,Unclassified
50922,General work ,6,general worker
2910,Education Assistant,6,education assistant
3279,Shop assistant ,6,sales assistant
2961,Cleaner,6,cleaner
7162,Educator assistant ,6,education assistant
128959,Sales person ,6,sales assistant
128985,Promoter,6,brand promoter
50724,Tutor ,6,tutor
5455,Cashier,6,cashier
6104,Sales agent,6,sales assistant
76627,Education Assistant ,6,education assistant
